,raw_comment,standard_comment,label,mark
54515,Nói không ngoa chứ nhận áo mà nhìn như cái rẻ lau. Kiểu hàng Second hand ấy. Mua shop mấy lần mà lần này thấy thất vọng ghê gớm,gớm thất_vọng nói không chứ áo mà nhìn như cái hàng mua_shop mà này thấy,-1,1
54785,Mình đổi lại màu được không ?,mình lại màu được không,-1,1
55021,Giao khác màu. Nt không tl. Nếu hết màu thì nt để khách hàng đổi màu.Hay lô như giao nhằm màu thì ít nhất củng phải tl tn để ng ta thông cảm chứ. Cho 2 sao vì cách phụ vụ khá tệ.,tệ khác_màu không_trả_lời giao màu thì để khách_hàng màu như giao màu thì để người chứ cho sao vì,-1,1
55137,"Mua 3 loại hàng. Cối về mở ra bị nứt 
Gói hàng bị ướt 
Cối bị nứt k say đc
Shop cũng báo mình hoàn hàng nhưng vì giá trị cối hơn 20k nên mình không hoàn hàng. Phí ship thà mua nguyên cái mới. 

Tiền ít không có nghĩa là shop gửi hàng nứt vỡ. K ai bỏ tiền ra mua hàng nứt vỡ",không_có không_nên mua hàng về ra bị gói hàng bị bị không được shop cũng mình hàng nhưng vì hơn mình không hàng mua cái là shop hàng_không ra mua hàng,-1,1
55315,"Tuy sale 1,000vnd nhưng thật nếu không sale thì chất lượng sản phẩm cũng không ổn. Mùi nhanh hết, chất liệu bên trong còn rớt vụng ra ngoài. Có thể sản phẩm khác sẽ ok hơn.",không_ổn nhưng không thì chất_lượng sản_phẩm cũng chất bên còn ra có sản_phẩm sẽ ok hơn,-1,1
55760,"Áo may bị lỗi rất nhiềuv
Cứ nghĩ là chỉ có mỗi nhièu chỉ thừa thôi mà không nghĩ nó lỗi nhiều chỗ quá luôn 
Áo cam rẻ hơn mà còn đẹp và ít lỗi hơn áo xanh 
Thất vọng quá",bị_lỗi chỉ_thừa thất_vọng áo rất là chỉ có thôi mà không nó quá luôn áo hơn mà_còn và hơn áo quá,-1,1
56331,"Thứ nhất, hình mô tả không giống sản phẩm đã giao. Rõ ràng chọn phân loại hồng, mô tả như hình (quần hồng áo đen) mà giao lại là quần tím áo hồng?
Thứ hai, ib hỏi shop để giải quyết mà trả lời lươn lẹo. Không thiện chí. 
chưa kể set áo xanh quần kaki để ý thì hàng không giống lắm, đường may ẩu.",trả như_hình đường_may không_giống sản_phẩm đã giao quần_áo đen mà giao lại là quần_áo shop để mà không áo_quần để thì hàng lắm,-1,1
57217,"Chất thun không co giãn nhiều, nhìn trong hình thì đẹp nhưng ở ngoài đúng chán...",chán thì_đẹp chất không nhìn nhưng ở,-1,1
57249,"Mình mua 2 cái áo nói rõ dàng với shop là xxl nhưng k hiểu sao giao về lại là size m hơn nữa shop còn đổi áo khác không đúng như hình với lại lên đơn hàng rất lâu, có nhắn tin hỏi shop đổi hàng thì k thèm rep, k bt qua đánh giá này có rep không :))) còn mình đợi rep cả ngày trời r mới đánh giá :)))",rất_lâu như_hình không_đúng không_hiểu bình_thường không_thèm_rep mình mua cái áo nói với shop là nhưng sao giao về lại là hơn nữa shop còn áo với lại lên hàng có shop hàng thì không này có không còn mình cả,-1,1
57432,"Áo màu không đều. Áo may lỗi tay áo bé xỏ tay vào đã bị sổ chỉ, chật tay mặc rất khó chịu",chật khó_chịu áo màu không áo áo vào đã bị chỉ mặc rất,-1,1
57463,"Không hài lòng với shop, đã nhắn tin đặt lập thể đen trắng như hình, nhưng giao ko đúng, quần nhỏ ngắn",như_hình không_đúng không với shop đã đặt đen nhưng giao quần,-1,1
58555,"Chất không tốt, vải thun không phải vải quần tây, nút bóp không vô. Bạn nào định mua thì suy nghĩ kĩ nhé",nghĩ_kĩ không_tốt không_phải chất quần không nào mua thì nhé,-1,1
58761,"Shop không để size áo nhưng cả 2 bộ đều cùng size trong khi mình đặt khác size , đã vậy chất vải xấu chỉ thừa nhiều",vải_xấu chất_vải chỉ_thừa khác_size shop không để áo nhưng cả khi mình đặt đã vậy chất,-1,1
58812,"Inbox riêng cho Shop lấy size 3XL mà vẫn giao 2XL . Vải đũi mỏng bị lộ quần trong, ck mình chật văng ra. Làm ăn chán không chịu được !",lộ chán chật làm_ăn cho shop mà vẫn giao bị quần mình ra không được,-1,1
59049,"Màu k lên như mình nghĩ, mình mua màu nhuộm đen để nhuộm áo trắng nhưng lại không lên màu nổi , mình có mua kèm bình giữ màu nhưng vẫn không có tác dụng. Khá là buồn, mình nghĩ k nên mua",không_có không_nên_mua màu không lên như mình mình mua màu đen để áo nhưng lại không lên màu mình có mua màu nhưng vẫn là mình,-1,1
59348,"Chất ổn! Nhưng bị bẩn ở áo! K biết shop có kiểm tra lại sp trc khi giao không! 
Chán",bẩn chán không_biết chất nhưng bị ở áo_shop có lại sản_phẩm khi giao không,-1,1
59464,"Chất liệu ko tốt, chất không đẹp bằng bộ lần trước mua, không tương xứng với giá tiền. Giao hàng nhanh",không_đẹp không_tốt giao_hàng_nhanh chất chất mua không với,-1,1
59612,"Chất lượng dịch vụ của shop và shopee vô cùng tốt, xứng đáng 100đ, giá như chất lượng áo cũng như vậy thì mình thấy không còn gì để chê luôn. Bộ màu vàng thì cũng tạm ổn nhưng 2 bộ còn lại thì vải thực sự mỏng, gần như xuyên thấu. Mọi người có thể lưu ý khi chọn mẫu để tránh làm phiền shop nha ❤",tạm_ổn cũng_tạm chất_lượng của shop và như chất_lượng áo cũng như vậy thì mình thấy không còn gì để luôn màu thì cũng nhưng còn lại thì như người có_khi để làm shop nha,-1,1
60361,"Áo vừa quần bé vãi rất mỏng và mặc nóng, giao hàng nhanh trong hai ngày nhưng ship không giao đến đúng nơi hẹn, lần sau sẽ không gặp lại shop nữa",mặc_nóng không_giao giao_hàng_nhanh áo_quần rất và nhưng đến sau sẽ không lại shop nữa,-1,1
61516,"Bộ màu trắng mỏng tanh, nhìn được luôn mặt sau qua mặt trước. Bộ màu xanh được cái không lộ lắm nhưng màu bị xỉn, cạp quần quá chật, được gần bàn tay thế kia chắc cỡ vòng eo 42cm mặc vừa.",lộ chật mặc_vừa màu nhìn được luôn sau màu được cái không lắm nhưng màu bị quần quá được thế,-1,1
61941,"Chất mỏng, không mềm mại. K nên mua nếu mún mua chất tốt.",không_nên_mua chất không mua chất,-1,1
62280,"Đặt 4 quần, 1 quần sai màu. Mình đặt xanh rêu, mà giao xanh lá. Xanh này khó phối áo. Nhắn tin rõ ràng mới đặt hàng. Đặt hàng đã giao sai màu. Nhắn tin báo thì 4 ngày mới trả lời rồi bảo hết màu xanh rêu. Hết sao lúc nhắn tin khách hàng sao không nói, để biết đổi màu khác. Bán hàng không uy tín.",trả đặt_hàng giao_sai_màu đặt quần quần màu mình đặt mà giao này áo đặt_hàng đã thì rồi màu sao khách_hàng sao không nói để biết màu bán hàng không,-1,1
62301,"Mình đặt hồng ruốc, chụp cả ảnh áo dài qua tin nhắn, dặn đi dặn lại rất nhiều lần, xong giao cho mình hồng cánh sen, nhắn tin cho shop để xem có phương án khác đổi hàng cho mình không cũng ko thèm rep, chán",chán không_thèm_rep mình đặt cả áo đi_lại rất giao cho mình cho shop để xem có hàng cho mình không cũng,-1,1
62844,"Shop ship thiếu kính, găng tay và khẩu trang. Phản hồi nhưng shop không giải đáp.",shop và nhưng shop không,-1,1
63084,"Vải rất mỏng, không đựng được nhiều đồ nặng. Nếu ai muốn sự ngay ngắn thì không nên mua vì túi này không có giấy cứng để chắn 4 cạnh vuông góc đâu!",không_có không_nên_mua rất không được thì vì này để đâu,-1,1
63089,Vải rất mỏng. Không hợp giá tiền,rất không,-1,1
63179,"Đặt mua 3 bộ , 2 bộ oke còn bộ thứ 3 thì cái áo như này đây .
Rách , dơ , móc meo khác gì giẻ lau không . Làm ơn bán hàng có tâm một tí nha nếu muốn làm ăn lâu dài .",dơ lâu rách làm_ăn đặt mua ok còn thì cái áo như này gì không làm bán hàng có một nha,-1,1
63181,"Mấy đánh giá trước ảo chắc luôn 😢. Không thơm đâu các bác ạ, form nó không đẹp, vải cứng. Nói chung là tôi mua về vứt só rồi.",không_đẹp luôn không đâu ạ nó nói_chung là tôi mua về rồi 😢,-1,1
63522,"Giao đúng màu đúng mẫu quần, áo
Set bộ giao sai màu, đặt 1 xanh, 1 vani thì giao 1 nâu, 1 vani. shop cũng không phản hồi gì với khách
Nếu không phải vì tin tưởng shop giao đúng thì đã ấn hoàn trả hàng ngay từ lúc nhận rồi
Sẽ không bao giờ mua của shop này nữa",trả giao_đúng không_phải giao_sai_màu không_bao_giờ màu quần_áo đặt thì giao_shop cũng không gì với khách vì shop thì đã hàng rồi sẽ mua của shop này nữa,-1,1
63610,"Vải co dãn ít, chất hơi nóng. Nói chung giá vậy thì chấp nhận đc
Shop gửi sai màu, mình nhắn shop để đổi lại mà mãi không đổi. Nhắn tin cũng không trả lời :) mua 1 lần rồi thôi",sai_màu gửi_sai không_trả_lời chất nói_chung vậy thì được shop mình shop để lại mà không cũng mua rồi thôi,-1,1
63669,"Sáng nay vừa nhận gói hàng, do mình mua tặng nên mua cũng 8 bộ đồ cho bé. Khi nhận hàng mình có liên hệ nhờ shop đổi nhưng shop không hề thấy shop trả lời dù đã nhắn tin và cả điện thoại. Thật sự thấy thất vọng.",trả nên_mua nhận_hàng thất_vọng gói hàng mình mua cũng cho khi mình có shop nhưng shop không thấy shop đã và cả thấy,-1,1
63909,Không kiểm hàng trước khi giao cho khách hoặc hết hàng tự ý đổi bộ khác k hỏi ý kiến. Mất thời gian đổi trả.,trả không hàng khi giao cho khách_hàng không,-1,1
64662,"Không hài lòng vì tin tưởng mua lần 2 tại shop, giao hàng bị lỗi, nt qua shopee thì lại yc nt qua sđt, nt số đt thì shop không có phản hồi. Sp không đáng là bao tiền nhưng cách phục vụ kém! Sẽ không mua hàng của shop nữa!",bị_lỗi không_có không_mua không_đáng không vì mua shop giao hàng thì lại thì shop sản_phẩm là nhưng sẽ hàng của shop nữa,-1,1
64922,"Đặt shop 36. Giao 35.

Dù kiễn nhẫn gửi tin nhắn đổi lại. Mà shop à ơi gần 2 tuần, xong kêu do shop ở hn. Mình ở hcm. Đổi hàng sẽ không còn lời. Nên bạn bán lại cho ai đó rồi mua đôi mới bên shop.",đặt shop giao lại mà shop_shop ở mình ở hàng sẽ không còn nên bán lại cho đó rồi mua bên shop,-1,1
64923,"Shop đóng gói không có tâm, không lót giấy làm giày bị móp và bị xước",không_có_tâm shop đóng_gói không làm bị và bị,-1,1
66186,"Giao hàng thiếu không báo lại khách hàng 
Sản phẩm tạm thôi",giao_hàng_thiếu không lại khách_hàng sản_phẩm thôi,-1,1
66566,"mình đặt 2 đơn mỗi đơn 2 sản phẩm
Giao hàng thiếu, liên hệ sđt thuê bao
Mình đặt dùm bạn mình, giờ thiếu 1 cái không biết ăn nói sao
Tiền đã thanh toán, không lấy lại được tiền mà còn không nhận đủ hàng",không_biết không_nhận giao_hàng_thiếu mình đặt sản_phẩm mình đặt mình cái nói sao đã không lại được mà_còn hàng,-1,1
67196,Giao thiếu hàng nhưng không hoàn tiền,giao_thiếu thiếu_hàng hàng nhưng không,-1,1
68444,"Miêu tả sản phẩm sai 
Hàng về không hề phát sáng",sản_phẩm hàng về không,-1,1
70508,Ghim các đoạn văn bản đã sao chép để chúng không hết hạn sau 1 giờ,đã sao để không sau,-1,1
70812,Áo đẹp. Túi nhận hàng là màu hồng tím. Tông hồng là chủ yếu. Do da mình tối không hợp. Bạn nào muốn mua mình pass lại 35k. Ib zalo 0354330616,áo_đẹp nhận_hàng là màu là mình không nào mua mình lại không,-1,1
71376,Đồng hồ nhỏ xinh nhưng phần dây chán quá shop ơi :( quai nhỏ bị đứt sẵn. Lỗi da không đều thì cg ksao vì giá rẻ nhưng đứt quai thì buồn quá ạ,chán giá_rẻ nhưng phần quá shop bị không thì vì nhưng thì quá ạ,-1,1
72042,"Vải mỏng, ống tay ngắn ( rõ là trên ảnh shop dài) 
Ảnh trên là áo khác nhé! 
Không ủng hộ shop lần thứ hai!",ủng_hộ vải_mỏng là shop là áo nhé không shop,-1,1
73317,"đặt màu nâu thì tự ý đổi màu xanh đen, lại còn đóng con dấu ""không tự ý chuyển hoàn lại hàng..."" mất tiền mà mua bực vào người, chán chả buồn đổi lại, làm ăn ko trung thực",bực chán làm_ăn không_trung_thực đặt màu thì màu đen lại còn đóng không lại hàng mà mua vào người lại,-1,1
73412,"Áo rất mỏng, đường chỉ may quá sơ sài, chất lượng không đảm bảo...........",đường_chỉ áo rất quá chất_lượng không,-1,1
73441,Shop bán hàng k kiểm hàng. Thiếu hàng mà vẫn không trừ tiền. Mua 5 món gửi hàng 4 món nhưng lại tính tiền 5 món. Thất vọng.Đợi hàng quá lâu,quá_lâu thất_vọng thiếu_hàng shop bán hàng không hàng mà vẫn không mua hàng nhưng lại hàng,-1,1
73760,"Thái độ của shop rất tệ, tui không buôn bán gì mà shop nói cạnh tranh công bằng là như thế nào? Dùng thái độ đó nói chuyện với khách hàng à? Còn đt kêu mình sửa đánh giá nữa, mình cũng định sửa nhưng vào thấy trả lời vậy thì mọi người xem xét lại có nên mua không nhé! Đặt hàng đẹp rồi tìm đủ lí do?",tệ trả nên_mua đặt_hàng hàng_đẹp của shop rất tôi không bán gì mà shop nói là như_thế_nào đó nói với khách_hàng còn mình nữa mình cũng nhưng vào thấy vậy thì người xem_lại có không nhé rồi,-1,1
73841,":)) rất mỏng, nhìn xuyên thấu luôn, không dám mặc ra ngoài",rất nhìn luôn không mặc ra,-1,1
74586,Giặt mấy lần không hết mủn mủn vải. Chất vải chán quá 😞,chán chất_vải không quá 😞,-1,1
74642,"Size đánh không chuẩn, cao 1m61 nặng 53kg ngực và mông đúng như số đo trên bảng mà lấy size XL rộng như cái váy. Quy trình đổi trả lằng nhằng, nản 😖😫😖",trả không không và như mà như cái 😫 😖,-1,1
74702,Có một đồng hồ candycat C45 dây silicon kim dây không di chuyển được,có một không được,-1,1
74757,Mua lần thứ 2 mà hơi buồn vì shop giao nhầm cho mình ở xa nên không muốn đổi jskskskjs,mua mà vì shop giao cho mình ở nên không,-1,1
75880,Giao lâu thì có thể thông cảm nhưng giao thiếu sản phẩm thì không nhé.,giao_lâu giao_thiếu thì có nhưng sản_phẩm thì không nhé,-1,1
76077,"Giao thiếu hàng, bảo hoàn mà mãi không kh thấy hoàn",giao_thiếu không_thấy thiếu_hàng hàng mà không,-1,1
76078,":) Giao thiếu hàng xong rồi shop hỏi có thể đổi thành voucher không thì mình cũng đành đồng ý, đến lúc hỏi voucher đâu thì im luôn.",giao_thiếu thiếu_hàng hàng rồi shop có không thì mình cũng đến đâu thì luôn,-1,1
76783,"Chụp hình màu 1 kiểu, giao 1 kiểu màu, nhắn shop đổi màu đã bảo mình chịu ship nhưng cố tính không đổi, 1 ngày được 1 2 tin nhắn, phục vụ kém....",màu giao màu shop màu đã mình nhưng không được,-1,1
76812,"Không hài lòng với chất vải và màu sắc của balo 
Dây đeo khá mỏng",chất_vải không với và màu của,-1,1
77175,"Chất lượng sản phẩm rất tệ, rất là nhiều chỉ dư thừa mà không cắt, sản phẩm bị dơ nhiều chỗ, shop bán hàng không có tâm. Gạt khách hàng nói đổi mà day dưa thời gian có đổi đâu",dơ tệ không_có_tâm chất_lượng sản_phẩm rất rất là chỉ mà không sản_phẩm bị shop bán hàng khách_hàng nói mà có đâu,-1,1
77259,"Giao nhầm hàng cho khách thái độ phục vụ không nhiệt tình 
Không có không sao nên mình mới đánh giá 1 sao :)))))",không_có không_sao giao hàng cho khách không nên mình sao,-1,1
78326,Thời gian chuẩn bị hàng của shop rất lâu. Giao hàng SAI MẪU nhưng không hỏi qua ý kiến hay thông báo cho mình biết trước. Còn thế MẪU THIẾU bằng 1 mẫu mình đã đặt. Giờ thành ra TRÙNG MẪU nhau.,rất_lâu giao_hàng_sai bị hàng của shop nhưng không cho mình biết còn thế mình đã đặt ra,-1,1
